method,gamma,episodes,success_rate,collision_rate,goal_reached_rate,mean_min_clearance,median_min_clearance,mean_final_goal_distance,mean_path_length,mean_control_effort,mean_planning_time_ms
mizuta_cfm_mppi,None,25,1.0,0.0,1.0,0.9541600179672242,0.6018900871276855,0.061296142116189,10.49980827331543,187.3113262939453,106.11504652164875
safemppi_gamma,0.3,25,0.4,0.6,0.96,0.39287002325057985,-0.1017448902130127,0.17308639332652093,10.190528507232665,110.51382598876953,36.253009270876646
safemppi_gamma,0.5,25,0.4,0.6,1.0,0.3912698245048523,-0.1017448902130127,0.13718397438526153,10.187754650115966,110.9822836303711,36.278921021614224
safemppi_gamma,0.7,25,0.4,0.6,1.0,0.39274235248565675,-0.1017448902130127,0.13460897587239742,10.1877561378479,110.54326446533203,36.1532568866387
safemppi_gamma,1.0,25,0.4,0.6,1.0,0.40426849961280825,-0.07611697912216187,0.16083238020539284,10.177622547149658,111.08495361328124,36.10619679279626
guided_safemppi,0.3,25,0.8,0.08,0.84,0.7381788659095764,0.44930797815322876,0.3713847178220749,10.126742038726807,137.9954800415039,77.07913874648511
guided_safemppi,0.5,25,0.64,0.28,0.84,0.5995600390434265,0.3478981852531433,0.4085406766831875,10.19774580001831,155.56082214355467,77.06826802436262
guided_safemppi,0.7,25,0.68,0.2,0.76,0.5861813831329346,0.26934814453125,0.39164121717214584,10.308035278320313,150.50679290771484,77.05107451695949
guided_safemppi,1.0,25,0.84,0.12,0.96,0.6265358555316926,0.38364744186401367,0.23601516872644424,10.251083908081055,150.40567657470703,77.04508733283728
